ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-11-01,753567.5193015258,1103882.714851961,1241895.376814999,753567.5193015258,753567.5193015258,420682.3709199046,420682.3709199046,420682.3709199046,420682.3709199046,420682.3709199046,420682.3709199046,0.0,0.0,0.0,1174249.8902214305
2010-12-01,752759.7007578714,629036.2134496571,759535.0052897072,752759.7007578714,752759.7007578714,-56790.04994418689,-56790.04994418689,-56790.04994418689,-56790.04994418689,-56790.04994418689,-56790.04994418689,0.0,0.0,0.0,695969.6508136844
2011-01-01,751924.9540166748,529874.68732404,666469.6636862403,751924.9540166748,751924.9540166748,-156838.66723480634,-156838.66723480634,-156838.66723480634,-156838.66723480634,-156838.66723480634,-156838.66723480634,0.0,0.0,0.0,595086.2867818684
2011-02-01,751090.2073007467,420776.62715432997,552085.3986400705,751090.2073007467,751090.2073007467,-265102.7703940527,-265102.7703940527,-265102.7703940527,-265102.7703940527,-265102.7703940527,-265102.7703940527,0.0,0.0,0.0,485987.43690669397
2011-03-01,750336.2425645221,560452.1401045826,700800.6373178913,750336.2425645221,750336.2425645221,-118844.13179918015,-118844.13179918015,-118844.13179918015,-118844.13179918015,-118844.13179918015,-118844.13179918015,0.0,0.0,0.0,631492.1107653419
2011-04-01,749501.4959301954,421372.5665688554,551429.7355517588,749501.4959301954,749501.4959301954,-261454.4069124227,-261454.4069124227,-261454.4069124227,-261454.4069124227,-261454.4069124227,-261454.4069124227,0.0,0.0,0.0,488047.0890177727
2011-05-01,748693.6765458658,609856.713207352,740515.2742081902,748693.6765458658,748693.6765458658,-70013.59168622794,-70013.59168622794,-70013.59168622794,-70013.59168622794,-70013.59168622794,-70013.59168622794,0.0,0.0,0.0,678680.0848596379
2011-06-01,747858.9297590271,580052.0010518322,713556.962324414,747858.9297590271,747858.9297590271,-104097.58987959183,-104097.58987959183,-104097.58987959183,-104097.58987959183,-104097.58987959183,-104097.58987959183,0.0,0.0,0.0,643761.3398794353
2011-07-01,747051.110228303,503133.2963842758,637674.8675304165,747051.110228303,747051.110228303,-176342.66294969097,-176342.66294969097,-176342.66294969097,-176342.66294969097,-176342.66294969097,-176342.66294969097,0.0,0.0,0.0,570708.4472786121
2011-08-01,746216.3633630896,543580.3471714599,682073.3727603919,746216.3633630896,746216.3633630896,-133881.4047316301,-133881.4047316301,-133881.4047316301,-133881.4047316301,-133881.4047316301,-133881.4047316301,0.0,0.0,0.0,612334.9586314595
2011-09-01,745381.6164978761,857261.5982435126,991991.9766825687,745381.6164978761,745381.6164978761,176589.2529415465,176589.2529415465,176589.2529415465,176589.2529415465,176589.2529415465,176589.2529415465,0.0,0.0,0.0,921970.8694394226
2011-10-01,744573.7969508955,951381.6561271216,1087423.53829808,744573.7969508955,744573.7969508955,275212.38725038175,275212.38725038175,275212.38725038175,275212.38725038175,275212.38725038175,275212.38725038175,0.0,0.0,0.0,1019786.1842012772
2011-11-01,743739.0500856821,1093569.1494201506,1230267.3913531424,743739.0500856821,743739.0500856821,415881.5563844235,415881.5563844235,415881.5563844235,415881.5563844235,415881.5563844235,415881.5563844235,0.0,0.0,0.0,1159620.6064701057
2011-12-01,742931.2305387014,552554.4126262785,689735.4020965776,742931.2305387014,742931.2305387014,-123770.79610571645,-123770.79610571645,-123770.79610571645,-123770.79610571645,-123770.79610571645,-123770.79610571645,0.0,0.0,0.0,619160.4344329849
2011-12-31,742123.4109917207,903840.1256890717,1033416.7968606752,742123.4105791203,742123.4113940527,228594.6765285813,228594.6765285813,228594.6765285813,228594.6765285813,228594.6765285813,228594.6765285813,0.0,0.0,0.0,970718.087520302
2012-01-31,741288.6641265072,528984.1172730888,667314.7348740797,741288.6628659045,741288.6654252001,-139069.63497864158,-139069.63497864158,-139069.63497864158,-139069.63497864158,-139069.63497864158,-139069.63497864158,0.0,0.0,0.0,602219.0291478657
2012-02-29,740507.7718977593,529337.6698809686,666443.1484837865,740507.7695716801,740507.7743988694,-142591.17348859817,-142591.17348859817,-142591.17348859817,-142591.17348859817,-142591.17348859817,-142591.17348859817,0.0,0.0,0.0,597916.5984091611
2012-03-31,739673.0250325459,329970.7997005522,463449.8891617147,739673.021189718,739673.0288774132,-338236.43614213663,-338236.43614213663,-338236.43614213663,-338236.43614213663,-338236.43614213663,-338236.43614213663,0.0,0.0,0.0,401436.5888904093
2012-04-30,738865.2054855652,695113.1903461125,829060.1458173046,738865.2002363746,738865.2110198555,19163.421833602097,19163.421833602097,19163.421833602097,19163.421833602097,19163.421833602097,19163.421833602097,0.0,0.0,0.0,758028.6273191674
2012-05-31,738030.4586203519,568312.8669734921,696432.311011923,738030.4515577643,738030.4660666545,-108645.60589295579,-108645.60589295579,-108645.60589295579,-108645.60589295579,-108645.60589295579,-108645.60589295579,0.0,0.0,0.0,629384.8527273961
